,time,FA,FB,FANB,FBNA,FAFB
0,2019-04-15 00:00:00,0,0,0,0,0
1,2019-04-15 01:00:00,0,0,0,0,0
2,2019-04-15 02:00:00,0,0,0,0,0
3,2019-04-15 03:00:00,0,0,0,0,0
4,2019-04-15 04:00:00,0,0,0,0,0
5,2019-04-15 05:00:00,0,0,0,0,0
6,2019-04-15 06:00:00,0,0,0,0,0
7,2019-04-15 07:00:00,0,0,0,0,0
8,2019-04-15 08:00:00,0,0,0,0,0
9,2019-04-15 09:00:00,0,0,0,0,0
10,2019-04-15 10:00:00,0,0,0,0,0
11,2019-04-15 11:00:00,0,0,0,0,0
12,2019-04-15 12:00:00,0,0,0,0,0
13,2019-04-15 13:00:00,0,0,0,0,0
14,2019-04-15 14:00:00,0,0,0,0,0
15,2019-04-15 15:00:00,0,0,0,0,0
16,2019-04-15 16:00:00,0,0,0,0,0
17,2019-04-15 17:00:00,0,0,0,0,0
18,2019-04-15 18:00:00,0,0,0,0,0
19,2019-04-15 19:00:00,0,0,0,0,0
20,2019-04-15 20:00:00,0,0,0,0,0
21,2019-04-15 21:00:00,0,0,0,0,0
22,2019-04-15 22:00:00,0,0,0,0,0
23,2019-04-15 23:00:00,0,0,0,0,0
24,2019-04-16 00:00:00,0,0,0,0,0
25,2019-04-16 01:00:00,0,0,0,0,0
26,2019-04-16 02:00:00,0,0,0,0,0
27,2019-04-16 03:00:00,0,0,0,0,0
28,2019-04-16 04:00:00,1,5,1,5,0
29,2019-04-16 05:00:00,54,6,54,6,0
30,2019-04-16 06:00:00,136,7,136,7,0
31,2019-04-16 07:00:00,271,12,271,12,0
32,2019-04-16 08:00:00,479,14,479,14,0
33,2019-04-16 09:00:00,645,32,645,32,0
34,2019-04-16 10:00:00,922,88,922,88,0
35,2019-04-16 11:00:00,1175,523,1175,523,0
36,2019-04-16 12:00:00,1333,1835,1331,1833,2
37,2019-04-16 13:00:00,1630,3308,1622,3300,8
38,2019-04-16 14:00:00,1778,4179,1765,4166,13
39,2019-04-16 15:00:00,1828,4643,1815,4630,13
40,2019-04-16 16:00:00,1962,5038,1947,5022,15
41,2019-04-16 17:00:00,2174,5333,2157,5315,17
42,2019-04-16 18:00:00,2655,5759,2631,5734,24
43,2019-04-16 19:00:00,2864,6270,2834,6239,30
44,2019-04-16 20:00:00,2947,6680,2914,6645,33
45,2019-04-16 21:00:00,3025,6960,2990,6922,35
46,2019-04-16 22:00:00,3147,7164,3111,7125,36
47,2019-04-16 23:00:00,4222,7707,4166,7648,56
48,2019-04-17 00:00:00,5843,8232,5736,8121,107
49,2019-04-17 01:00:00,6922,8627,6769,8470,153
50,2019-04-17 02:00:00,7301,8821,7127,8643,174
51,2019-04-17 03:00:00,7488,8895,7308,8711,180
52,2019-04-17 04:00:00,7627,8943,7443,8755,184
53,2019-04-17 05:00:00,7767,8970,7578,8777,189
54,2019-04-17 06:00:00,8008,9019,7815,8822,193
55,2019-04-17 07:00:00,8558,9164,8335,8937,223
56,2019-04-17 08:00:00,9862,9409,9592,9133,270
57,2019-04-17 09:00:00,11989,9583,11680,9268,309
58,2019-04-17 10:00:00,14263,9711,13908,9351,354
59,2019-04-17 11:00:00,16188,9811,15765,9383,422
60,2019-04-17 12:00:00,18134,9936,17636,9434,496
61,2019-04-17 13:00:00,20679,10127,19999,9444,677
62,2019-04-17 14:00:00,22755,10288,21911,9442,840
63,2019-04-17 15:00:00,24056,10382,23142,9467,909
64,2019-04-17 16:00:00,25719,10442,24752,9475,961
65,2019-04-17 17:00:00,27099,10493,26097,9491,996
66,2019-04-17 18:00:00,28308,10539,27264,9496,1037
67,2019-04-17 19:00:00,30076,10586,28981,9492,1088
68,2019-04-17 20:00:00,32081,10646,30952,9519,1121
69,2019-04-17 21:00:00,33642,10690,32489,9538,1145
70,2019-04-17 22:00:00,35203,10731,34019,9552,1172
71,2019-04-17 23:00:00,36971,10815,35712,9562,1246
72,2019-04-18 00:00:00,38839,11207,37216,9591,1609
73,2019-04-18 01:00:00,40482,11532,38531,9588,1937
74,2019-04-18 02:00:00,41143,11637,39098,9599,2031
75,2019-04-18 03:00:00,41444,11669,39365,9597,2065
76,2019-04-18 04:00:00,41657,11690,39552,9594,2089
77,2019-04-18 05:00:00,41842,11700,39726,9593,2100
78,2019-04-18 06:00:00,42065,11714,39934,9593,2114
79,2019-04-18 07:00:00,42636,11781,40435,9591,2183
80,2019-04-18 08:00:00,43641,11908,41316,9594,2307
81,2019-04-18 09:00:00,44965,12057,42500,9603,2447
82,2019-04-18 10:00:00,46210,12259,43565,9625,2627
83,2019-04-18 11:00:00,47340,12437,44558,9666,2764
84,2019-04-18 12:00:00,48254,12599,45365,9721,2871
85,2019-04-18 13:00:00,49154,12706,46178,9741,2957
86,2019-04-18 14:00:00,49844,12838,46817,9822,3008
87,2019-04-18 15:00:00,50352,12951,47273,9884,3059
88,2019-04-18 16:00:00,50880,13019,47764,9919,3092
89,2019-04-18 17:00:00,51278,13069,48128,9940,3121
90,2019-04-18 18:00:00,51646,13106,48473,9955,3143
91,2019-04-18 19:00:00,52341,13140,49144,9965,3167
92,2019-04-18 20:00:00,52808,13184,49594,9993,3183
93,2019-04-18 21:00:00,53194,13205,49965,10001,3196
94,2019-04-18 22:00:00,53607,13233,50361,10013,3212
95,2019-04-18 23:00:00,53997,13265,50727,10021,3236
96,2019-04-19 00:00:00,54408,13304,51109,10033,3263
97,2019-04-19 01:00:00,54690,13323,51385,10047,3268
98,2019-04-19 02:00:00,54842,13334,51532,10053,3273
99,2019-04-19 03:00:00,54945,13339,51630,10053,3278
100,2019-04-19 04:00:00,54991,13342,51676,10056,3278
101,2019-04-19 05:00:00,55047,13342,51730,10054,3280
102,2019-04-19 06:00:00,55162,13345,51843,10055,3282
103,2019-04-19 07:00:00,55351,13349,52028,10056,3285
104,2019-04-19 08:00:00,55736,13360,52407,10062,3290
105,2019-04-19 09:00:00,56226,13381,52889,10076,3297
106,2019-04-19 10:00:00,56828,13402,53480,10087,3307
107,2019-04-19 11:00:00,57327,13412,53973,10091,3313
108,2019-04-19 12:00:00,57790,13419,54427,10089,3322
109,2019-04-19 13:00:00,58367,13436,54992,10095,3333
110,2019-04-19 14:00:00,58973,13454,55582,10101,3345
111,2019-04-19 15:00:00,59365,13460,55966,10102,3350
112,2019-04-19 16:00:00,59716,13469,56312,10107,3354
113,2019-04-19 17:00:00,60035,13477,56624,10108,3361
114,2019-04-19 18:00:00,60361,13489,56941,10111,3370
115,2019-04-19 19:00:00,60649,13497,57220,10110,3379
116,2019-04-19 20:00:00,61013,13513,57565,10107,3398
117,2019-04-19 21:00:00,61408,13619,57846,10101,3510
118,2019-04-19 22:00:00,61857,13773,58135,10095,3669
119,2019-04-19 23:00:00,62234,13832,58450,10095,3728
120,2019-04-20 00:00:00,62512,13878,58686,10099,3770
121,2019-04-20 01:00:00,62702,13906,58854,10105,3792
122,2019-04-20 02:00:00,62817,13919,58954,10103,3807
123,2019-04-20 03:00:00,62882,13924,59013,10102,3813
124,2019-04-20 04:00:00,62932,13931,59056,10102,3820
125,2019-04-20 05:00:00,63001,13934,59123,10103,3822
126,2019-04-20 06:00:00,63072,13934,59192,10101,3824
127,2019-04-20 07:00:00,63200,13938,59315,10100,3829
128,2019-04-20 08:00:00,63398,13948,59503,10101,3838
129,2019-04-20 09:00:00,63665,13975,59731,10102,3864
130,2019-04-20 10:00:00,64040,13997,60078,10104,3884
131,2019-04-20 11:00:00,64855,14018,60868,10103,3906
132,2019-04-20 12:00:00,65592,14039,61574,10097,3932
133,2019-04-20 13:00:00,66260,14087,62228,10131,3946
134,2019-04-20 14:00:00,66701,14104,62660,10139,3955
135,2019-04-20 15:00:00,67053,14115,63001,10140,3965
136,2019-04-20 16:00:00,67508,14149,63428,10150,3989
137,2019-04-20 17:00:00,67837,14170,63741,10158,4002
138,2019-04-20 18:00:00,68154,14184,64048,10164,4010
139,2019-04-20 19:00:00,68534,14201,64414,10168,4022
140,2019-04-20 20:00:00,68873,14214,64741,10169,4034
141,2019-04-20 21:00:00,69169,14226,65029,10173,4042
142,2019-04-20 22:00:00,69429,14233,65283,10175,4047
143,2019-04-20 23:00:00,69790,14237,65638,10174,4052
144,2019-04-21 00:00:00,70055,14254,65878,10168,4075
145,2019-04-21 01:00:00,70212,14264,66026,10169,4084
146,2019-04-21 02:00:00,70315,14269,66124,10169,4089
147,2019-04-21 03:00:00,70382,14273,66183,10165,4097
148,2019-04-21 04:00:00,70434,14273,66233,10164,4098
149,2019-04-21 05:00:00,70466,14274,66264,10164,4099
150,2019-04-21 06:00:00,70505,14275,66303,10165,4099
151,2019-04-21 07:00:00,70587,14275,66382,10162,4102
152,2019-04-21 08:00:00,70779,14277,66554,10162,4104
153,2019-04-21 09:00:00,71048,14284,66804,10159,4114
154,2019-04-21 10:00:00,71364,14294,67111,10161,4122
155,2019-04-21 11:00:00,71620,14301,67363,10164,4126
156,2019-04-21 12:00:00,74924,14305,70643,10146,4148
157,2019-04-21 13:00:00,78486,14307,74189,10132,4164
158,2019-04-21 14:00:00,80663,14378,76273,10110,4257
159,2019-04-21 15:00:00,82211,14437,77746,10093,4332
160,2019-04-21 16:00:00,83517,14471,79006,10083,4376
161,2019-04-21 17:00:00,85381,14485,80829,10058,4415
162,2019-04-21 18:00:00,86777,14490,82196,10034,4444
163,2019-04-21 19:00:00,87829,14495,83226,10020,4463
164,2019-04-21 20:00:00,88791,14501,84168,10008,4481
165,2019-04-21 21:00:00,89601,14507,84963,10000,4495
166,2019-04-21 22:00:00,90673,14515,86018,9994,4509
167,2019-04-21 23:00:00,91513,14518,86849,9990,4516
168,2019-04-22 00:00:00,92241,14520,87559,9975,4533
169,2019-04-22 01:00:00,92704,14529,88012,9974,4543
170,2019-04-22 02:00:00,92951,14530,88256,9972,4546
171,2019-04-22 03:00:00,93105,14531,88404,9967,4552
172,2019-04-22 04:00:00,93186,14532,88481,9964,4556
173,2019-04-22 05:00:00,93233,14532,88528,9964,4556
174,2019-04-22 06:00:00,93294,14533,88588,9964,4557
175,2019-04-22 07:00:00,93541,14538,88828,9962,4564
176,2019-04-22 08:00:00,93985,14543,89261,9962,4569
177,2019-04-22 09:00:00,94758,14547,90024,9959,4576
178,2019-04-22 10:00:00,95422,14550,90680,9954,4584
179,2019-04-22 11:00:00,95985,14555,91229,9949,4594
180,2019-04-22 12:00:00,96395,14556,91631,9944,4600
181,2019-04-22 13:00:00,96858,14558,92087,9941,4605
182,2019-04-22 14:00:00,97435,14560,92655,9935,4613
183,2019-04-22 15:00:00,97800,14563,93014,9932,4619
184,2019-04-22 16:00:00,98065,14564,93276,9931,4621
185,2019-04-22 17:00:00,98374,14566,93581,9930,4624
186,2019-04-22 18:00:00,98617,14567,93820,9928,4627
187,2019-04-22 19:00:00,98912,14569,94107,9925,4632
188,2019-04-22 20:00:00,99171,14592,94359,9941,4639
189,2019-04-22 21:00:00,99478,14605,94662,9951,4642
190,2019-04-22 22:00:00,99805,14614,94986,9957,4645
191,2019-04-22 23:00:00,100617,14985,95381,9915,5058
192,2019-04-23 00:00:00,101378,15175,95934,9898,5265
